[2025-06-23 23:14:09.882] [info]  No state version found, assuming empty state.
[2025-06-23 23:14:10.066] [info]  Disabling coredumps in main process
[2025-06-23 23:14:10.782] [info]  SSH agent started
[2025-06-23 23:14:10.785] [info]  State version: 70
[2025-06-23 23:14:16.927] [info]  Retrieving application id
[2025-06-23 23:14:25.560] [info]  [KeyService] Deriving master key took 87ms
[2025-06-23 23:14:25.563] [info]  Retrieving application id
[2025-06-23 23:14:54.134] [info]  Error: no result
[2025-06-23 23:14:55.303] [info]  WebSocket connected to wss://notifications.bitwarden.com/hub?access_token=eyJhbGciOiJSUzI1NiIsImtpZCI6IkJDMzZDMjE0REI0OEYyMzVCNzdEQTNGMTcyMEMxQTM1QTk2MkVBNDNSUzI1NiIsIng1dCI6InZEYkNGTnRJOGpXM2ZhUHhjZ3dhTmFsaTZrTSIsInR5cCI6ImF0K2p3dCJ9.eyJpc3MiOiJodHRwczovL2lkZW50aXR5LmJpdHdhcmRlbi5jb20iLCJuYmYiOjE3NTA3MDk2OTMsImlhdCI6MTc1MDcwOTY5MywiZXhwIjoxNzUwNzEzMjkzLCJzY29wZSI6WyJhcGkiLCJvZmZsaW5lX2FjY2VzcyJdLCJhbXIiOlsiQXBwbGljYXRpb24iXSwiY2xpZW50X2lkIjoiZGVza3RvcCIsInN1YiI6ImRiMGQwOGRmLTE5MDktNGFmNC1iNDJkLWFkMzIwMDhjNDZjZiIsImF1dGhfdGltZSI6MTc1MDcwOTY5MywiaWRwIjoiYml0d2FyZGVuIiwicHJlbWl1bSI6dHJ1ZSwiZW1haWwiOiJsYXVyZW50Zjg0QGdtYWlsLmNvbSIsImVtYWlsX3ZlcmlmaWVkIjp0cnVlLCJzc3RhbXAiOiIyMTFjNDNmNy0yZTQ1LTQ1YmQtODM3My04ZTYxMDcxNDBiZjMiLCJkZXZpY2UiOiI2NDYzMmE1Mi0yMjk1LTRkYmYtOGUzZi05N2FkODBhOWEyMjAiLCJkZXZpY2V0eXBlIjoiTGludXhEZXNrdG9wIiwianRpIjoiN0I5QzVCQkM1QkZFQjFGQTdGODFBN0QzQUFFNzU5RDYifQ.n_XPVmJM4Vql6F9JQPYcH1EDnxkAvdHaEvkhSVNrq6Cu5oe2bEEjPwhMLyV4WM5-Q0lT0IqPj0KsTpfk7oPhGjDIAUw6r4hAj8v0nJUxH2TWbDYLlUK7pCG-p1jDgJsf-AgE2Zlq_8e-wabGDOLbF3mk5O54P4NAwWfYAhbvL0aiYwQUVATpO4-aS_2owg0_-U3_RokG470JqBY5QqqSbAsVq9YrzgyHTUjdVJD_wZBmPayz8ktutlkZbRvedIJ9ojagA_mEhy6hNu8D29990bmMqVQlGpPpXI1OONenq3xYEFsHK2tpyWVQNMDtbFVDEcNY6gpo3b4enDGxZAwF9msjIaymxs79VbleNyRvftq6YWpdYW7F2Fp7QkfDZtwxHWTtVcRzTYCK9PPts_8m_da97ERVuJM8uuEZnyn__xyDMqClXl3qo5_zx9GMlmrY0vHj0Mk-Oqh0EtQJ0ZOWS1V3bzrhryjsbtJTBLmrRnIs_6UjDUf-8kcNSc3J8uzKCH7C2xRfI6eonIRhj7mhrgle3qR7ZiRQ34whEqHxNAKbAXpukja94bVrq1ml9iL5b1vseRiC3XtBEijvj3tVxnZ9U9XHPr7CQ3w6KxLUpSbCCMia0pLDNujjP9ZZMGMTFvbk9Fo5iv08XZjbcQ8H7hi12gTMDC66ocfiQ1aDgx4.
[2025-06-23 23:14:55.306] [info]  Using HubProtocol 'messagepack'.
[2025-06-23 23:14:56.892] [info]  Starting decryption using multithreading with 8 workers for 419 items
[2025-06-23 23:14:57.192] [info]  Finished decrypting 419 items using 8 workers
[2025-06-23 23:14:57.193] [info]  [CipherService] Decrypting 419 ciphers took 364ms
[2025-06-23 23:14:57.550] [info]  [SearchService] Building search index of 419 ciphers took 349ms
[2025-06-23 23:22:16.403] [info]  Starting decryption using multithreading with 8 workers for 420 items
[2025-06-23 23:22:16.536] [info]  Finished decrypting 420 items using 8 workers
[2025-06-23 23:22:16.537] [info]  [CipherService] Decrypting 420 ciphers took 133ms
[2025-06-23 23:22:16.605] [info]  [SearchService] Building search index of 420 ciphers took 58ms
[2025-06-23 23:22:18.852] [info]  Retrieving application id
[2025-06-23 23:49:24.737] [info]  State version: 70
[2025-06-23 23:49:24.740] [info]  Migrator MinVersionMigrator (to version 3) should migrate: false - up
[2025-06-23 23:49:24.740] [info]  Migrator RemoveEverBeenUnlockedMigrator (to version 4) should migrate: false - up
[2025-06-23 23:49:24.741] [info]  Migrator AddKeyTypeToOrgKeysMigrator (to version 5) should migrate: false - up
